背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
00,池田来翔,右,.111,21,46,45,2,5,1,20.0,2,0,0,-,7,1,7,1,0,0,0,0,0,0,-,1,0,2,.143,.130,.156,.286
0,荻野貴司,右,.279,80,213,197,25,55,10,18.2,6,1,1,1-0-0,66,15,15,10,1,2,4,0,0,0,-,1,0,6,.250,.321,.335,.656
1,藤原恭大,左,.290,74,264,231,30,67,8,11.9,8,4,2,1-1-0,89,21,39,25,0,3,3,2,4,1,80.0,0,0,2,.296,.364,.385,.749
2,松川虎生,右,.250,2,4,4,0,1,0,0.0,0,0,0,-,1,0,3,0,0,0,0,0,0,0,-,0,0,0,.500,.250,.250,.500
3,角中勝也,左,.280,84,217,189,21,53,5,9.4,12,2,3,3-0-0,78,20,37,24,1,1,1,2,0,0,-,1,0,4,.282,.361,.413,.774
4,友杉篤輝,右,.206,125,393,355,33,73,13,17.8,10,0,0,-,83,15,52,17,0,0,19,2,11,2,84.6,14,0,5,.192,.241,.234,.474
5,安田尚憲,左,.228,55,174,158,14,36,2,5.6,13,0,0,-,49,15,48,13,0,0,0,3,0,0,-,2,0,4,.250,.282,.310,.592
7,藤岡裕大,左,.256,90,369,312,31,80,2,2.5,13,1,5,2-3-0,110,29,58,46,1,2,7,2,0,0,-,5,0,4,.214,.354,.353,.706
8,中村奨吾,右,.234,120,433,376,36,88,7,8.0,18,0,4,2-1-1,118,27,75,41,0,5,11,0,2,2,50.0,9,0,15,.178,.318,.314,.631
10,上田希由翔,左,.259,21,64,58,3,15,5,33.3,3,0,0,-,18,7,9,2,0,2,1,1,0,0,-,3,0,0,.357,.302,.310,.612
22,ポランコ,左,.243,118,468,416,47,101,7,6.9,21,0,23,11-8-1,191,60,86,46,2,2,0,4,0,0,-,1,0,5,.238,.318,.459,.778
23,石川慎吾,右,.211,33,93,90,2,19,3,15.8,3,0,1,1-0-0,25,5,19,3,0,0,0,0,0,0,-,2,0,3,.174,.237,.278,.514
25,岡大海,右,.287,103,420,362,52,104,11,10.6,28,2,7,4-2-0,157,33,64,44,6,7,4,3,11,3,78.6,0,0,9,.291,.373,.434,.806
27,田村龍弘,右,.200,51,160,140,11,28,1,3.6,10,0,0,-,38,14,27,14,0,0,4,2,0,0,-,3,1,2,.257,.269,.271,.541
32,佐藤都志也,左,.278,116,452,410,41,114,10,8.8,20,0,5,5-0-0,149,45,51,29,2,3,4,6,4,1,80.0,5,5,10,.287,.326,.363,.689
38,髙部瑛斗,左,.300,76,287,260,37,78,21,26.9,12,3,1,0-1-0,99,23,43,19,2,1,5,2,10,4,71.4,1,0,3,.333,.348,.381,.728
39,大下誠一郎,右,.150,22,22,20,1,3,1,33.3,1,0,0,-,4,1,4,1,0,0,1,0,0,0,-,0,0,0,.286,.190,.200,.390
50,愛斗,右,.188,52,76,69,4,13,2,15.4,2,0,0,-,15,3,14,4,0,1,2,0,0,0,-,1,0,3,.174,.243,.217,.461
